"Carimbo de data/hora","Qual sua idade?","Qual o seu grau de escolaridade?","Qual seu estado civil?","O quanto te incomoda andar ao lado de pessoas fumando?","Você gosta de conversar com pessoas que conhece há pouco tempo?","Você gosta de andar acompanhado(a) de pessoas com animais de estimação?","Para você, o quão importante é o custo da viagem (considerando os gastos com meios de transporte)?","Para você, o quão importante é o tempo gasto na viagem (considerando caminhada e meios de transporte)?","Para você, o quão importante é o conforto da viagem?","Para você, o quão importante é a segurança da viagem?","Para você, o quão importante é a qualidade visual da viagem?","Com que frequência você utiliza os seguintes meios de transporte? [Trem]","Com que frequência você utiliza os seguintes meios de transporte? [Metrô]","Com que frequência você utiliza os seguintes meios de transporte? [Ônibus]","Com que frequência você utiliza os seguintes meios de transporte? [Caminhada]","Com que frequência você utiliza os seguintes meios de transporte? [Bicicleta]","Com que frequência você sai nos períodos indicados abaixo? [Manhã]","Com que frequência você sai nos períodos indicados abaixo? [Tarde]","Com que frequência você sai nos períodos indicados abaixo? [Noite]"
"2020/06/08 6:04:47 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","3","3","3","2","4","3","5","2","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","1x por mês","Raramente"
"2020/06/08 6:09:03 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","4","3","2","4","2","5","5","4","4x por semana ou mais","4x por semana ou mais","2-3x por semana","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","1x por mês"
"2020/06/08 6:16:01 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","4","3","2","3","4","5","5","2","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","1x por mês","4x por semana ou mais"
"2020/06/08 6:23:28 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","4","3","3","3","4","5","5","5","4x por semana ou mais","4x por semana ou mais","Raramente","Raramente","Raramente","4x por semana ou mais","1x por semana","2-3x por semana"
"2020/06/08 6:30:55 PM GMT-3","De 36 a 50 anos","Ensino Médio completo","Casado(a)","5","2","3","5","5","5","5","5","1x por mês","1x por mês","Raramente","2-3x por semana","Raramente","1x por mês","1x por semana","Raramente"
"2020/06/08 6:39:49 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","3","5","5","1","2","3","5","3","1x por semana","1x por mês","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","1x por semana","4x por semana ou mais"
"2020/06/08 6:40:56 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","4","4","4","5","4","4","4","3","Raramente","Raramente","Raramente","1x por semana","1x por mês","4x por semana ou mais","2-3x por semana","1x por semana"
"2020/06/08 6:40:57 PM GMT-3","De 18 a 24 anos","Ensino Superior completo","Solteiro(a)","3","3","3","2","4","3","5","2","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","Raramente","1x por semana"
"2020/06/08 6:41:01 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","5","2","4","3","4","4","5","5","4x por semana ou mais","1x por mês","1x por mês","Raramente","Raramente","4x por semana ou mais","1x por semana","Raramente"
"2020/06/08 6:46:31 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","1","3","3","4","5","2","5","2","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","Raramente","Raramente","4x por semana ou mais","Raramente"
"2020/06/08 6:48:14 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","5","3","3","4","5","5","5","4","4x por semana ou mais","Raramente","4x por semana ou mais","Raramente","Raramente","1x por semana","1x por semana","1x por semana"
"2020/06/08 6:51:23 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","3","3","4","2","3","4","4","5","Raramente","Raramente","Raramente","1x por mês","1x por mês","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/08 6:51:45 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","3","4","4","4","5","5","5","3","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","2-3x por semana","Raramente","4x por semana ou mais","Raramente","1x por semana"
"2020/06/08 6:55:11 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","3","5","5","5","5","5","5","5","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais"
"2020/06/08 6:57:16 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","5","2","5","5","4","5","4","2","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente","2-3x por semana","4x por semana ou mais","2-3x por semana"
"2020/06/08 7:00:43 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","4","3","5","5","4","4","5","3","Raramente","Raramente","Raramente","2-3x por semana","Raramente","1x por semana","4x por semana ou mais","1x por semana"
"2020/06/08 7:00:53 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","4","2","5","5","5","3","4","4","4x por semana ou mais","1x por semana","4x por semana ou mais","4x por semana ou mais","1x por mês","4x por semana ou mais","2-3x por semana","4x por semana ou mais"
"2020/06/08 7:01:46 PM GMT-3","De 25 a 35 anos","Ensino Superior incompleto","Solteiro(a)","5","3","3","4","5","4","5","5","4x por semana ou mais","Raramente","4x por semana ou mais","2-3x por semana","Raramente","4x por semana ou mais","2-3x por semana","Raramente"
"2020/06/08 7:10:52 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","4","3","5","3","5","5","5","1","4x por semana ou mais","1x por mês","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/08 7:16:03 PM GMT-3","De 25 a 35 anos","Ensino Superior completo","Solteiro(a)","4","3","5","2","5","5","5","4","4x por semana ou mais","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente"
"2020/06/08 7:17:51 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","1","5","5","4","5","5","5","3","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","1x por semana","4x por semana ou mais"
"2020/06/08 7:20:20 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","4","3","5","5","4","4","5","3","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","Raramente","Raramente","4x por semana ou mais","2-3x por semana"
"2020/06/08 7:21:12 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","5","3","3","4","2","4","5","2","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","2-3x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente"
"2020/06/08 7:23:53 PM GMT-3","De 25 a 35 anos","Ensino Superior completo","Casado(a)","5","2","3","4","5","3","4","1","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","2-3x por semana","Raramente","4x por semana ou mais","Raramente","2-3x por semana"
"2020/06/08 7:24:17 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","5","3","3","4","4","5","5","2","Raramente","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","1x por semana"
"2020/06/08 7:29:04 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","5","4","5","2","5","5","1","4x por semana ou mais","1x por semana","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/08 7:29:21 PM GMT-3","De 25 a 35 anos","Ensino Superior completo","Solteiro(a)","4","4","1","5","5","4","2","5","Raramente","Raramente","Raramente","2-3x por semana","Raramente","4x por semana ou mais","2-3x por semana","1x por semana"
"2020/06/08 7:32:35 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","5","3","2","3","4","4","4","3","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/08 7:32:55 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","2","4","4","4","2","3","4","3","1x por mês","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","1x por semana","1x por semana","2-3x por semana","4x por semana ou mais"
"2020/06/08 7:38:04 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","4","3","4","5","5","4","5","4","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","2-3x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","1x por semana"
"2020/06/08 7:42:25 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","5","3","5","5","5","5","5","5","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","Raramente","2-3x por semana"
"2020/06/08 7:59:31 PM GMT-3","De 18 a 24 anos","Ensino Superior completo","Solteiro(a)","1","5","4","5","5","5","5","4","Raramente","Raramente","Raramente","2-3x por semana","2-3x por semana","2-3x por semana","Raramente","2-3x por semana"
"2020/06/08 8:31:16 PM GMT-3","De 25 a 35 anos","Ensino Superior completo","Casado(a)","5","3","5","5","5","5","5","4","1x por semana","1x por semana","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/08 8:37:43 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","3","4","3","3","3","4","5","4","Raramente","2-3x por semana","2-3x por semana","2-3x por semana","Raramente","Raramente","2-3x por semana","Raramente"
"2020/06/08 8:41:41 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","5","4","5","5","4","4","5","4","4x por semana ou mais","1x por mês","4x por semana ou mais","1x por mês","1x por mês","4x por semana ou mais","1x por mês","2-3x por semana"
"2020/06/08 9:07:53 PM GMT-3","De 18 a 24 anos","Ensino Superior completo","Solteiro(a)","4","4","5","5","5","5","5","5","2-3x por semana","Raramente","2-3x por semana","2-3x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/08 9:08:14 PM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","5","3","3","5","5","5","5","4","Raramente","Raramente","1x por semana","2-3x por semana","Raramente","2-3x por semana","2-3x por semana","Raramente"
"2020/06/08 9:08:39 PM GMT-3","De 18 a 24 anos","Pós-graduação","Solteiro(a)","5","3","5","5","5","5","5","4","1x por semana","1x por semana","1x por semana","1x por mês","Raramente","1x por semana","Raramente","1x por semana"
"2020/06/08 9:15:13 PM GMT-3","A partir de 51 anos","Ensino Superior completo","Casado(a)","5","3","3","5","5","5","5","5","Raramente","Raramente","Raramente","2-3x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/09 1:04:04 AM GMT-3","A partir de 51 anos","Ensino Superior completo","Casado(a)","1","3","1","5","5","5","5","5","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","Raramente","Raramente"
"2020/06/09 10:37:00 AM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","3","2","5","5","5","4","4","2","4x por semana ou mais","1x por mês","2-3x por semana","2-3x por semana","Raramente","4x por semana ou mais","2-3x por semana","1x por semana"
"2020/06/09 6:01:36 PM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","5","3","4","5","5","5","5","4","Raramente","Raramente","1x por mês","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/09 6:02:48 PM GMT-3","De 36 a 50 anos","Ensino Médio completo","Solteiro(a)","5","3","2","5","5","5","5","5","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana","Raramente","2-3x por semana","2-3x por semana","1x por semana"
"2020/06/09 6:07:46 PM GMT-3","De 25 a 35 anos","Ensino Médio incompleto","Solteiro(a)","3","5","2","5","1","2","5","2","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","1x por semana","Raramente","4x por semana ou mais","Raramente","2-3x por semana"
"2020/06/09 6:09:52 PM GMT-3","De 25 a 35 anos","Ensino Superior completo","Solteiro(a)","2","4","2","5","2","3","4","1","1x por mês","4x por semana ou mais","Raramente","4x por semana ou mais","1x por mês","1x por semana","4x por semana ou mais","4x por semana ou mais"
"2020/06/09 6:11:30 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","3","4","5","4","2","5","2","4x por semana ou mais","1x por mês","2-3x por semana","2-3x por semana","1x por semana","4x por semana ou mais","2-3x por semana","1x por semana"
"2020/06/09 6:11:45 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","3","2","5","5","5","5","5","4x por semana ou mais","4x por semana ou mais","Raramente","2-3x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente"
"2020/06/09 6:13:35 PM GMT-3","De 25 a 35 anos","Ensino Superior completo","Solteiro(a)","4","3","2","4","5","4","5","4","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/09 6:14:59 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","3","5","4","5","5","5","3","Raramente","Raramente","Raramente","Raramente","Raramente","1x por mês","4x por semana ou mais","2-3x por semana"
"2020/06/09 6:15:22 PM GMT-3","A partir de 51 anos","Pós-graduação","Casado(a)","1","1","1","1","3","5","5","5","Raramente","Raramente","Raramente","2-3x por semana","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","1x por semana"
"2020/06/09 6:16:11 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","1","1","1","3","3","5","5","5","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","1x por semana","Raramente","4x por semana ou mais","Raramente","1x por semana"
"2020/06/09 6:18:27 PM GMT-3","De 25 a 35 anos","Ensino Superior incompleto","Solteiro(a)","1","4","4","3","1","2","3","2","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais"
"2020/06/09 6:19:00 PM GMT-3","De 25 a 35 anos","Pós-graduação","Solteiro(a)","2","1","5","5","2","3","5","4","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente","Raramente","4x por semana ou mais","Raramente"
"2020/06/09 6:22:52 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","1","4","5","2","5","2","3","3","1x por semana","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","1x por semana","Raramente","4x por semana ou mais","4x por semana ou mais"
"2020/06/09 6:23:43 PM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","5","3","2","2","5","5","5","4","Raramente","Raramente","2-3x por semana","4x por semana ou mais","1x por semana","4x por semana ou mais","4x por semana ou mais","1x por semana"
"2020/06/09 6:33:58 PM GMT-3","A partir de 51 anos","Ensino Superior incompleto","Casado(a)","4","5","3","5","5","5","5","4","Raramente","Raramente","Raramente","Raramente","Raramente","2-3x por semana","2-3x por semana","Raramente"
"2020/06/09 6:34:34 PM GMT-3","A partir de 51 anos","Ensino Médio completo","Solteiro(a)","5","5","3","5","5","5","5","5","1x por mês","Raramente","1x por semana","1x por semana","Raramente","1x por semana","1x por semana","Raramente"
"2020/06/09 6:35:08 PM GMT-3","A partir de 51 anos","Pós-graduação","Casado(a)","5","5","3","5","5","5","5","5","Raramente","4x por semana ou mais","Raramente","2-3x por semana","Raramente","4x por semana ou mais","1x por semana","1x por semana"
"2020/06/09 6:37:39 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","3","5","4","5","5","5","4","Raramente","Raramente","2-3x por semana","2-3x por semana","1x por semana","2-3x por semana","2-3x por semana","Raramente"
"2020/06/09 6:40:23 PM GMT-3","A partir de 51 anos","Pós-graduação","Divorciado(a)","5","5","3","3","3","5","5","5","Raramente","Raramente","Raramente","Raramente","2-3x por semana","2-3x por semana","2-3x por semana","Raramente"
"2020/06/09 6:57:37 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Divorciado(a)","5","2","4","5","5","5","5","5","Raramente","2-3x por semana","1x por semana","4x por semana ou mais","1x por mês","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/09 7:09:12 PM GMT-3","De 36 a 50 anos","Ensino Superior incompleto","Casado(a)","3","2","5","5","4","4","5","3","1x por semana","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/09 7:09:39 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","4","3","3","1","4","5","5","1","4x por semana ou mais","Raramente","Raramente","4x por semana ou mais","1x por semana","4x por semana ou mais","Raramente","Raramente"
"2020/06/09 7:37:39 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Divorciado(a)","3","3","3","4","4","4","5","5","Raramente","1x por mês","Raramente","1x por mês","Raramente","4x por semana ou mais","2-3x por semana","1x por semana"
"2020/06/09 7:44:59 PM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","5","4","2","2","3","5","5","4","Raramente","Raramente","Raramente","1x por semana","2-3x por semana","1x por semana","1x por mês","Raramente"
"2020/06/09 8:08:13 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","2","2","5","5","5","3","4","4","Raramente","Raramente","1x por semana","2-3x por semana","Raramente","4x por semana ou mais","1x por semana","4x por semana ou mais"
"2020/06/09 8:13:42 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","3","3","4","3","3","5","5","3","1x por semana","Raramente","4x por semana ou mais","2-3x por semana","Raramente","4x por semana ou mais","2-3x por semana","2-3x por semana"
"2020/06/09 8:17:59 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","3","4","4","5","4","5","2","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente"
"2020/06/09 8:18:16 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","5","3","5","5","4","5","5","5","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","1x por semana","4x por semana ou mais"
"2020/06/09 8:18:26 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","4","3","3","5","5","4","5","3","Raramente","2-3x por semana","Raramente","Raramente","Raramente","1x por semana","1x por semana","Raramente"
"2020/06/09 8:18:32 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","3","4","4","5","4","5","5","5","Raramente","Raramente","1x por mês","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/09 8:18:52 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","4","4","3","5","5","2","4","1","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","1x por semana"
"2020/06/09 8:18:56 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","5","5","4","5","5","5","5","Raramente","Raramente","4x por semana ou mais","Raramente","Raramente","2-3x por semana","1x por semana","4x por semana ou mais"
"2020/06/09 8:19:08 PM GMT-3","Até 17 anos","Ensino Fundamental ou menos","Solteiro(a)","3","4","3","4","1","4","5","2","Raramente","Raramente","1x por mês","1x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/09 8:19:16 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","3","4","4","3","3","4","5","1","Raramente","2-3x por semana","4x por semana ou mais","4x por semana ou mais","1x por semana","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
