"Carimbo de data/hora","Qual sua idade?","Qual o seu grau de escolaridade?","Qual seu estado civil?","O quanto te incomoda andar ao lado de pessoas fumando?","Você gosta de conversar com pessoas que conhece há pouco tempo?","Você gosta de andar acompanhado(a) de pessoas com animais de estimação?","Para você, o quão importante é o custo da viagem (considerando os gastos com meios de transporte)?","Para você, o quão importante é o tempo gasto na viagem (considerando caminhada e meios de transporte)?","Para você, o quão importante é o conforto da viagem?","Para você, o quão importante é a segurança da viagem?","Para você, o quão importante é a qualidade visual da viagem?","Com que frequência você utiliza os seguintes meios de transporte? [Trem]","Com que frequência você utiliza os seguintes meios de transporte? [Metrô]","Com que frequência você utiliza os seguintes meios de transporte? [Ônibus]","Com que frequência você utiliza os seguintes meios de transporte? [Caminhada]","Com que frequência você utiliza os seguintes meios de transporte? [Bicicleta]","Com que frequência você sai nos períodos indicados abaixo? [Manhã]","Com que frequência você sai nos períodos indicados abaixo? [Tarde]","Com que frequência você sai nos períodos indicados abaixo? [Noite]"
"2020/06/10 11:01:55 AM GMT-3","De 25 a 35 anos","Ensino Superior completo","Casado(a)","5","3","4","3","3","5","5","4","Raramente","Raramente","Raramente","1x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/10 11:01:56 AM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","5","3","1","4","4","5","5","4","Raramente","1x por mês","Raramente","2-3x por semana","Raramente","2-3x por semana","2-3x por semana","Raramente"
"2020/06/10 11:02:20 AM GMT-3","De 25 a 35 anos","Pós-graduação","Solteiro(a)","3","4","5","5","5","4","5","4","Raramente","Raramente","Raramente","2-3x por semana","Raramente","2-3x por semana","2-3x por semana","1x por semana"
"2020/06/10 11:03:12 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Solteiro(a)","5","4","5","4","3","3","5","3","Raramente","Raramente","1x por semana","1x por mês","Raramente","1x por semana","1x por semana","Raramente"
"2020/06/10 11:03:33 AM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","5","3","2","4","4","4","5","4","Raramente","1x por mês","1x por mês","2-3x por semana","Raramente","2-3x por semana","2-3x por semana","1x por semana"
"2020/06/10 11:04:12 AM GMT-3","A partir de 51 anos","Ensino Superior incompleto","Casado(a)","5","3","3","5","5","5","5","5","Raramente","Raramente","Raramente","1x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 11:05:31 AM GMT-3","De 25 a 35 anos","Ensino Superior completo","Casado(a)","5","2","1","5","5","5","5","5","Raramente","Raramente","Raramente","Raramente","Raramente","4x por semana ou mais","2-3x por semana","4x por semana ou mais"
"2020/06/10 11:05:44 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Divorciado(a)","5","3","5","1","2","5","4","2","Raramente","Raramente","1x por mês","1x por mês","Raramente","1x por semana","1x por mês","Raramente"
"2020/06/10 11:05:48 AM GMT-3","A partir de 51 anos","Pós-graduação","Divorciado(a)","4","4","5","5","5","5","5","5","1x por semana","1x por semana","Raramente","1x por semana","Raramente","2-3x por semana","2-3x por semana","4x por semana ou mais"
"2020/06/10 11:07:42 AM GMT-3","De 25 a 35 anos","Ensino Superior completo","Solteiro(a)","2","3","4","5","5","5","5","5","Raramente","Raramente","Raramente","2-3x por semana","1x por semana","Raramente","2-3x por semana","1x por semana"
"2020/06/10 11:11:18 AM GMT-3","A partir de 51 anos","Ensino Superior incompleto","Casado(a)","3","3","3","5","5","5","5","5","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/10 11:12:52 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","3","4","5","4","4","5","5","Raramente","Raramente","Raramente","1x por semana","Raramente","2-3x por semana","1x por semana","2-3x por semana"
"2020/06/10 11:13:44 AM GMT-3","A partir de 51 anos","Ensino Superior completo","Casado(a)","5","3","4","5","4","5","5","5","Raramente","Raramente","Raramente","Raramente","Raramente","1x por semana","1x por semana","Raramente"
"2020/06/10 11:13:52 AM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","3","4","5","5","4","5","5","4","Raramente","Raramente","1x por semana","4x por semana ou mais","Raramente","4x por semana ou mais","2-3x por semana","2-3x por semana"
"2020/06/10 11:15:58 AM GMT-3","De 25 a 35 anos","Pós-graduação","Casado(a)","5","3","1","5","5","5","5","5","Raramente","Raramente","Raramente","1x por mês","Raramente","2-3x por semana","Raramente","2-3x por semana"
"2020/06/10 11:16:39 AM GMT-3","De 25 a 35 anos","Ensino Superior completo","Solteiro(a)","1","5","2","3","4","5","5","3","Raramente","Raramente","Raramente","1x por mês","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 11:16:51 AM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","2","3","2","3","3","4","4","4","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","1x por mês"
"2020/06/10 11:17:46 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","1","1","5","5","5","5","3","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","1x por semana"
"2020/06/10 11:25:19 AM GMT-3","De 25 a 35 anos","Ensino Superior completo","Casado(a)","4","3","4","5","5","5","5","5","Raramente","Raramente","Raramente","2-3x por semana","Raramente","2-3x por semana","2-3x por semana","1x por semana"
"2020/06/10 11:28:53 AM GMT-3","De 36 a 50 anos","Ensino Médio completo","Divorciado(a)","3","3","3","3","3","5","5","5","Raramente","Raramente","4x por semana ou mais","1x por semana","Raramente","4x por semana ou mais","2-3x por semana","Raramente"
"2020/06/10 11:28:59 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","1","3","3","3","3","3","5","3","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 11:35:35 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","3","5","3","5","5","5","5","Raramente","Raramente","Raramente","1x por mês","Raramente","2-3x por semana","2-3x por semana","1x por semana"
"2020/06/10 11:39:26 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","1","3","3","3","3","3","5","3","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 11:40:40 AM GMT-3","A partir de 51 anos","Ensino Médio incompleto","Casado(a)","5","4","5","5","5","5","5","5","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","Raramente","4x por semana ou mais","1x por semana"
"2020/06/10 11:51:55 AM GMT-3","De 25 a 35 anos","Ensino Superior completo","Solteiro(a)","3","4","4","5","5","4","4","3","1x por semana","1x por semana","Raramente","2-3x por semana","Raramente","1x por mês","2-3x por semana","Raramente"
"2020/06/10 11:53:54 AM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","5","3","3","5","5","5","5","5","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","1x por mês","1x por mês","1x por mês"
"2020/06/10 11:58:32 AM GMT-3","A partir de 51 anos","Ensino Superior incompleto","Viúvo(a)","5","3","5","3","3","3","5","3","Raramente","Raramente","Raramente","1x por semana","Raramente","1x por semana","1x por semana","1x por mês"
"2020/06/10 12:03:40 PM GMT-3","A partir de 51 anos","Ensino Superior incompleto","Casado(a)","5","3","3","5","4","5","5","4","Raramente","Raramente","Raramente","1x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","1x por semana"
"2020/06/10 12:05:49 PM GMT-3","De 25 a 35 anos","Pós-graduação","Casado(a)","4","3","5","5","5","5","5","5","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 12:06:23 PM GMT-3","A partir de 51 anos","Ensino Superior incompleto","Casado(a)","5","4","3","5","4","5","5","4","Raramente","Raramente","Raramente","1x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","1x por semana"
"2020/06/10 12:07:07 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","4","3","5","4","4","4","5","5","Raramente","Raramente","Raramente","1x por mês","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente"
"2020/06/10 12:07:27 PM GMT-3","De 36 a 50 anos","Ensino Superior incompleto","Divorciado(a)","5","4","5","3","3","5","5","5","Raramente","Raramente","Raramente","1x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/10 12:23:43 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","5","5","5","5","5","5","5","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente"
"2020/06/10 12:28:34 PM GMT-3","De 36 a 50 anos","Ensino Médio completo","Solteiro(a)","1","3","4","3","4","5","5","5","Raramente","Raramente","4x por semana ou mais","2-3x por semana","Raramente","4x por semana ou mais","Raramente","Raramente"
"2020/06/10 12:36:31 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","3","3","4","3","3","5","5","3","1x por semana","Raramente","4x por semana ou mais","2-3x por semana","Raramente","4x por semana ou mais","2-3x por semana","2-3x por semana"
"2020/06/10 12:55:29 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","4","3","3","4","4","4","5","4","Raramente","Raramente","1x por semana","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","1x por semana","Raramente"
"2020/06/10 1:21:02 PM GMT-3","De 25 a 35 anos","Ensino Superior completo","Casado(a)","5","4","5","3","4","4","5","4","Raramente","Raramente","Raramente","2-3x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 1:23:43 PM GMT-3","De 36 a 50 anos","Pós-graduação","Solteiro(a)","5","5","5","5","5","5","5","5","Raramente","Raramente","Raramente","2-3x por semana","2-3x por semana","4x por semana ou mais","1x por semana","1x por semana"
"2020/06/10 1:24:13 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","3","1","5","5","5","5","3","Raramente","Raramente","Raramente","2-3x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 1:33:19 PM GMT-3","A partir de 51 anos","Ensino Médio completo","Casado(a)","5","3","5","3","5","3","4","4","Raramente","Raramente","Raramente","Raramente","Raramente","2-3x por semana","2-3x por semana","1x por mês"
"2020/06/10 1:39:34 PM GMT-3","De 36 a 50 anos","Ensino Médio completo","Casado(a)","5","5","2","5","5","5","5","5","1x por mês","1x por mês","Raramente","Raramente","Raramente","1x por semana","1x por semana","1x por semana"
"2020/06/10 1:41:49 PM GMT-3","De 25 a 35 anos","Ensino Superior incompleto","Casado(a)","1","2","2","5","5","5","5","5","Raramente","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/10 1:44:38 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Divorciado(a)","5","5","3","5","5","5","5","5","Raramente","Raramente","1x por mês","4x por semana ou mais","Raramente","2-3x por semana","4x por semana ou mais","2-3x por semana"
"2020/06/10 1:46:33 PM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","1","5","4","5","5","5","5","5","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 2:04:25 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","1","4","1","4","2","4","5","5","Raramente","Raramente","Raramente","2-3x por semana","Raramente","2-3x por semana","Raramente","1x por semana"
"2020/06/10 2:05:41 PM GMT-3","De 25 a 35 anos","Ensino Superior completo","Casado(a)","2","3","5","5","5","5","5","3","Raramente","Raramente","Raramente","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","1x por semana"
"2020/06/10 2:09:50 PM GMT-3","De 25 a 35 anos","Ensino Superior completo","Solteiro(a)","2","4","4","4","5","4","5","3","Raramente","Raramente","Raramente","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","1x por semana"
"2020/06/10 2:14:15 PM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","5","4","4","5","4","2","3","4","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","1x por mês"
"2020/06/10 2:26:02 PM GMT-3","A partir de 51 anos","Pós-graduação","Casado(a)","5","3","1","5","5","3","5","3","Raramente","Raramente","Raramente","Raramente","Raramente","2-3x por semana","2-3x por semana","1x por semana"
"2020/06/10 2:33:19 PM GMT-3","A partir de 51 anos","Ensino Superior completo","Viúvo(a)","4","3","3","4","2","4","4","4","Raramente","Raramente","Raramente","1x por mês","Raramente","1x por semana","1x por semana","Raramente"
"2020/06/10 2:34:37 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","4","3","4","5","3","5","5","4","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","1x por semana","2-3x por semana"
"2020/06/10 2:47:10 PM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","5","3","5","4","5","5","5","3","Raramente","Raramente","Raramente","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 2:49:02 PM GMT-3","De 25 a 35 anos","Ensino Superior completo","Solteiro(a)","5","5","5","3","3","3","5","3","Raramente","Raramente","Raramente","1x por semana","1x por mês","2-3x por semana","2-3x por semana","2-3x por semana"
"2020/06/10 2:53:29 PM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","5","2","5","5","5","5","5","3","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 3:22:01 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","3","4","5","5","5","4","5","3","4x por semana ou mais","4x por semana ou mais","1x por semana","4x por semana ou mais","Raramente","4x por semana ou mais","2-3x por semana","2-3x por semana"
"2020/06/10 3:23:01 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","3","3","4","4","4","2","4","1","Raramente","Raramente","1x por mês","4x por semana ou mais","Raramente","1x por mês","4x por semana ou mais","2-3x por semana"
"2020/06/10 3:42:12 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Solteiro(a)","4","4","4","4","5","4","3","5","Raramente","Raramente","Raramente","4x por semana ou mais","1x por semana","1x por semana","2-3x por semana","1x por semana"
"2020/06/10 3:43:38 PM GMT-3","De 25 a 35 anos","Pós-graduação","Casado(a)","5","3","3","5","5","5","5","5","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente"
"2020/06/10 4:13:23 PM GMT-3","De 36 a 50 anos","Ensino Médio completo","Casado(a)","5","3","5","5","5","5","5","4","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","1x por semana","Raramente"
"2020/06/10 4:17:26 PM GMT-3","A partir de 51 anos","Pós-graduação","Casado(a)","5","4","5","3","5","5","5","5","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","2-3x por semana","1x por semana"
"2020/06/10 4:20:32 PM GMT-3","De 25 a 35 anos","Pós-graduação","Casado(a)","3","3","3","3","3","5","5","5","Raramente","Raramente","1x por semana","1x por semana","1x por semana","1x por semana","1x por semana","1x por semana"
"2020/06/10 4:20:37 PM GMT-3","De 25 a 35 anos","Pós-graduação","Casado(a)","3","3","3","3","3","5","5","5","Raramente","Raramente","1x por semana","1x por semana","1x por semana","1x por semana","1x por semana","1x por semana"
"2020/06/10 4:20:42 PM GMT-3","De 25 a 35 anos","Pós-graduação","Casado(a)","3","3","3","3","3","5","5","5","Raramente","Raramente","1x por semana","1x por semana","1x por semana","1x por semana","1x por semana","1x por semana"
"2020/06/10 4:34:52 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","5","3","3","5","5","5","5","3","Raramente","Raramente","1x por semana","2-3x por semana","2-3x por semana","2-3x por semana","2-3x por semana","2-3x por semana"
"2020/06/10 4:50:59 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","3","3","5","5","5","5","4","Raramente","Raramente","Raramente","1x por semana","Raramente","1x por semana","1x por semana","Raramente"
"2020/06/10 5:30:52 PM GMT-3","De 25 a 35 anos","Pós-graduação","Casado(a)","5","3","1","5","5","5","5","5","Raramente","Raramente","Raramente","1x por mês","Raramente","2-3x por semana","Raramente","2-3x por semana"
"2020/06/10 5:36:08 PM GMT-3","De 18 a 24 anos","Ensino Médio completo","Solteiro(a)","4","2","4","3","3","4","5","4","Raramente","Raramente","4x por semana ou mais","1x por semana","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais"
"2020/06/10 5:50:06 PM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","5","3","2","4","4","4","5","4","Raramente","1x por mês","1x por mês","2-3x por semana","Raramente","2-3x por semana","2-3x por semana","1x por semana"
"2020/06/10 6:57:11 PM GMT-3","A partir de 51 anos","Ensino Superior completo","Viúvo(a)","4","3","3","4","2","4","4","4","Raramente","Raramente","Raramente","1x por mês","Raramente","1x por semana","1x por semana","Raramente"
"2020/06/10 7:05:48 PM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","5","2","5","5","5","5","5","3","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 7:16:03 PM GMT-3","A partir de 51 anos","Ensino Superior completo","Casado(a)","4","4","3","5","5","5","5","4","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais","2-3x por semana","Raramente","4x por semana ou mais","4x por semana ou mais","4x por semana ou mais"
"2020/06/10 7:41:38 PM GMT-3","De 25 a 35 anos","Pós-graduação","Casado(a)","5","3","3","5","5","5","5","5","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente"
"2020/06/10 8:43:56 PM GMT-3","De 36 a 50 anos","Pós-graduação","Casado(a)","5","2","5","5","5","5","5","3","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/10 9:05:11 PM GMT-3","De 25 a 35 anos","Ensino Superior completo","Solteiro(a)","5","3","4","3","3","5","5","4","4x por semana ou mais","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","Raramente","2-3x por semana"
"2020/06/10 10:12:52 PM GMT-3","Até 17 anos","Ensino Médio incompleto","Solteiro(a)","5","3","5","5","5","3","5","5","Raramente","Raramente","4x por semana ou mais","4x por semana ou mais","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais"
"2020/06/10 10:29:23 PM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","4","4","2","5","3","5","4","3","Raramente","Raramente","2-3x por semana","1x por semana","Raramente","1x por semana","4x por semana ou mais","1x por semana"
"2020/06/10 10:30:28 PM GMT-3","Até 17 anos","Ensino Fundamental ou menos","Solteiro(a)","4","2","5","4","5","4","5","2","Raramente","Raramente","1x por semana","4x por semana ou mais","2-3x por semana","Raramente","2-3x por semana","1x por mês"
"2020/06/10 11:24:37 PM GMT-3","A partir de 51 anos","Ensino Superior completo","Casado(a)","5","3","5","5","5","5","5","3","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente","Raramente"
"2020/06/11 12:35:35 AM GMT-3","Até 17 anos","Ensino Médio incompleto","Casado(a)","5","3","5","4","5","5","5","4","Raramente","Raramente","1x por mês","1x por semana","Raramente","4x por semana ou mais","1x por mês","Raramente"
"2020/06/11 4:00:24 AM GMT-3","De 25 a 35 anos","Ensino Superior completo","Solteiro(a)","1","5","2","3","4","5","5","3","Raramente","Raramente","Raramente","1x por mês","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/11 9:31:50 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","3","4","5","4","4","5","5","Raramente","Raramente","Raramente","1x por semana","Raramente","2-3x por semana","1x por semana","2-3x por semana"
"2020/06/11 10:13:35 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Solteiro(a)","4","4","4","4","5","4","3","5","Raramente","Raramente","Raramente","4x por semana ou mais","1x por semana","1x por semana","2-3x por semana","1x por semana"
"2020/06/11 10:45:39 AM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","5","5","5","5","5","5","5","5","Raramente","Raramente","Raramente","2-3x por semana","Raramente","2-3x por semana","2-3x por semana","Raramente"
"2020/06/11 10:54:31 AM GMT-3","A partir de 51 anos","Ensino Superior completo","Casado(a)","5","3","5","5","4","4","5","5","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","4x por semana ou mais","4x por semana ou mais","2-3x por semana"
"2020/06/11 11:20:00 AM GMT-3","De 18 a 24 anos","Ensino Superior incompleto","Solteiro(a)","2","5","5","5","3","3","5","5","Raramente","Raramente","Raramente","1x por mês","1x por mês","2-3x por semana","4x por semana ou mais","2-3x por semana"
"2020/06/11 2:34:05 PM GMT-3","De 25 a 35 anos","Ensino Superior incompleto","Solteiro(a)","5","3","3","4","5","4","5","5","4x por semana ou mais","Raramente","4x por semana ou mais","2-3x por semana","Raramente","4x por semana ou mais","2-3x por semana","Raramente"
"2020/06/11 3:17:13 PM GMT-3","De 25 a 35 anos","Ensino Superior completo","Casado(a)","5","3","5","5","4","4","5","2","Raramente","Raramente","Raramente","4x por semana ou mais","Raramente","2-3x por semana","2-3x por semana","1x por semana"
"2020/06/11 7:44:22 PM GMT-3","De 36 a 50 anos","Ensino Superior completo","Casado(a)","1","4","1","4","2","4","5","5","Raramente","Raramente","Raramente","2-3x por semana","Raramente","2-3x por semana","Raramente","1x por semana"